id,category,question,answer,keywords,is_dynamic,needs_admin_confirmation
faq_001,harga,Berapa harga sewa kamar kost per bulan?,"Harga kamar tergantung tipe dan lokasi. Secara umum kamar mandi dalam mulai sekitar Rp1.500.000 per bulan, sedangkan kamar mandi luar mulai sekitar Rp1.000.000 per bulan. Untuk ketersediaan dan harga per lokasi, bisa dicek dari data kamar terbaru ya kak.","harga,sewa,biaya,tarif,kamar mandi dalam,kamar mandi luar",FALSE,FALSE
faq_002,tipe_kamar,Ada tipe kamar apa saja?,"Tipe kamar tergantung rumah/lokasi, kak. Umumnya tersedia kamar mandi dalam dan kamar mandi luar.","tipe kamar,jenis kamar,kamar mandi dalam,kamar mandi luar",FALSE,FALSE
faq_003,deposit,Apakah ada deposit atau uang jaminan?,"Ada deposit jaminan Rp500.000, kak. Deposit ditahan selama masa kost dan bisa dipotong jika ada kerusakan atau barang kost yang hilang.","deposit,jaminan,uang jaminan,500 ribu,500rb",FALSE,FALSE
faq_004,fasilitas,Fasilitas kost apa saja?,"Fasilitas kost termasuk AC, internet/WiFi, dapur bersama, kulkas bersama, akses fingerprint, dan listrik token bayar sendiri, kak.","fasilitas,ac,wifi,internet,dapur,kulkas,fingerprint,listrik token",FALSE,FALSE
faq_005,fasilitas,Apakah kamar sudah ada AC?,"Iya kak, kamar tersedia fasilitas AC.","ac,air conditioner,pendingin,fasilitas ac",FALSE,FALSE
faq_006,fasilitas,Apakah ada WiFi atau internet?,"Iya kak, tersedia internet/WiFi di kost.","wifi,internet,wi-fi,jaringan,online",FALSE,FALSE
faq_007,fasilitas,Apakah ada water heater?,"Water heater hanya tersedia untuk kamar mandi dalam, kak.","water heater,air panas,pemanas air,kamar mandi dalam",FALSE,FALSE
faq_008,fasilitas,Apakah ada dapur bersama?,"Iya kak, tersedia dapur bersama untuk penghuni kost.","dapur,dapur bersama,masak,memasak",FALSE,FALSE
faq_009,fasilitas,Apakah ada kulkas bersama?,"Iya kak, tersedia kulkas bersama untuk penghuni kost.","kulkas,kulkas bersama,refrigerator,menyimpan makanan",FALSE,FALSE
faq_010,listrik,Apakah listrik sudah termasuk harga sewa?,"Listrik menggunakan token dan dibayar sendiri oleh penghuni, kak.","listrik,token,token listrik,bayar listrik,biaya listrik",FALSE,FALSE
faq_011,keamanan,Apakah akses kost menggunakan fingerprint?,"Iya kak, akses kost menggunakan fingerprint access.","fingerprint,akses,keamanan,kunci,pintu",FALSE,FALSE
faq_012,kapasitas,Satu kamar boleh diisi berapa orang?,"Kapasitas kamar hanya untuk 1 orang, kak.","kapasitas,1 orang,satu orang,berdua,share kamar",FALSE,FALSE
faq_013,aturan,Apakah kost menerima pasutri?,"Mohon maaf kak, kost tidak menerima pasutri.","pasutri,suami istri,pasangan menikah,berdua",FALSE,FALSE
